,de_score,de_abs,pca_score,nmf_score,hub_degree,de_abs_norm,pca_score_norm,nmf_score_norm,hub_degree_norm,composite_score
208556_at,,,0.0370069885032698,0.9077527810916814,,0.0,0.47753923867992265,0.7204868817763975,0.0,0.29950653011408
215406_at,,,0.026795136463904797,1.0052207193651563,,0.0,0.3397281728408778,0.8582583742946222,0.0,0.299496636783875
207918_s_at,,,0.0302234235588814,0.9724374073600884,,0.0,0.3859936197685976,0.8119189738247345,0.0,0.29947814839833303
206797_at,,,0.0346780781835243,0.9298942866337911,,0.0,0.44611010984310934,0.7517840274755095,0.0,0.29947353432965473
212265_at,,,0.033643743978224096,0.9397331907432126,,0.0,0.4321515547527375,0.7656913751419326,0.0,0.29946073247366756
208235_x_at,,,0.0369005431163374,0.9086343599897158,,0.0,0.476102736058238,0.7217329986298594,0.0,0.29945893367202436
205705_at,,,0.0335856986515604,0.9400214553938552,,0.0,0.4313682210044944,0.7660988388870653,0.0,0.29936676497288994
217030_at,,,0.0315674182870645,0.9592639261828696,,0.0,0.40413110797925594,0.7932981822537273,0.0,0.2993573225582458
211934_x_at,,,0.036864673382333096,0.9086598994909424,,0.0,0.475618666542205,0.7217690988620434,0.0,0.2993469413510621
222383_s_at,,,0.0344749434884431,0.9314703596540628,,0.0,0.4433687649107585,0.7540118157735577,0.0,0.299345145171079
208412_s_at,,,0.0316231718217225,0.9586797392162616,,0.0,0.40488351351802554,0.7924724306093921,0.0,0.2993389860318544
205437_at,,,0.024967329061722603,1.0222078866159483,,0.0,0.31506153203250914,0.8822698331112823,0.0,0.29933284128594784
219679_s_at,,,0.04875605002683531,0.7950316532965831,,0.0,0.6360952660224181,0.5611549179556903,0.0,0.29931254599452706
204857_at,,,0.03535951664716269,0.9229259111044475,,0.0,0.45530626354918746,0.7419341885016774,0.0,0.2993101130127162
217858_s_at,,,0.0403783332225869,0.8749332874313731,,0.0,0.5230362364124531,0.6740963383282901,0.0,0.2992831436851858
217703_x_at,,,0.0365240254580034,0.9116760525532918,,0.0,0.4710215519985583,0.7260324485996501,0.0,0.2992635001495521
208337_s_at,,,0.0290683456666578,0.9826204664455735,,0.0,0.3704056035262128,0.826312786533404,0.0,0.2991795975149042
218410_s_at,,,0.0293277869335824,0.980101569659322,,0.0,0.3739068173491008,0.8227523114080605,0.0,0.2991647821892903
208895_s_at,,,0.0367626817952421,0.9091074101288776,,0.0,0.4742422688751174,0.7224016577280484,0.0,0.29916098165079147
208200_at,,,0.026846746589246906,1.0037737425146345,,0.0,0.34042466220970785,0.8562130641765772,0.0,0.29915943159657127
207364_at,,,0.0312368366860519,0.9618580857092802,,0.0,0.3996698405610926,0.796965041696072,0.0,0.29915872056429116
206014_at,,,0.028938321510691103,0.983788931199262,,0.0,0.3686509005154838,0.8279644181973356,0.0,0.29915382967820486
213330_s_at,,,0.044357324697226905,0.8365418132651637,,0.0,0.5767335534094892,0.6198297683202842,0.0,0.2991408304324433
215127_s_at,,,0.0217366022524152,1.052502604509065,,0.0,0.27146220222346545,0.925091591460603,0.0,0.2991384484210171
37943_at,,,0.0348993160635742,0.9266518149297672,,0.0,0.44909576101942067,0.74720077503348,0.0,0.2990741340132252
